FID,GEO_ID,NAME,Percent under the Poverty line
3,0500000US37001,"Alamance County, North Carolina",15.3
94,0500000US37019,"Brunswick County, North Carolina",9.4
51,0500000US37021,"Buncombe County, North Carolina",12.2
46,0500000US37023,"Burke County, North Carolina",21
99,0500000US37025,"Cabarrus County, North Carolina",7.3
38,0500000US37027,"Caldwell County, North Carolina",10
81,0500000US37031,"Carteret County, North Carolina",8.9
53,0500000US37035,"Catawba County, North Carolina",14.9
49,0500000US37037,"Chatham County, North Carolina",8.4
62,0500000US37045,"Cleveland County, North Carolina",21.3
73,0500000US37049,"Craven County, North Carolina",13.8
78,0500000US37051,"Cumberland County, North Carolina",18.1
47,0500000US37057,"Davidson County, North Carolina",17.5
34,0500000US37063,"Durham County, North Carolina",14.1
30,0500000US37067,"Forsyth County, North Carolina",15.5
31,0500000US37069,"Franklin County, North Carolina",8.8
100,0500000US37071,"Gaston County, North Carolina",11
2,0500000US37081,"Guilford County, North Carolina",16.4
64,0500000US37085,"Harnett County, North Carolina",16.9
66,0500000US37089,"Henderson County, North Carolina",10.5
95,0500000US37097,"Iredell County, North Carolina",7.4
55,0500000US37101,"Johnston County, North Carolina",13.6
97,0500000US37109,"Lincoln County, North Carolina",7.4
98,0500000US37119,"Mecklenburg County, North Carolina",10.2
67,0500000US37125,"Moore County, North Carolina",11.8
35,0500000US37127,"Nash County, North Carolina",16.9
93,0500000US37129,"New Hanover County, North Carolina",13
88,0500000US37133,"Onslow County, North Carolina",11.1
33,0500000US37135,"Orange County, North Carolina",14.1
54,0500000US37147,"Pitt County, North Carolina",19.6
5,0500000US37151,"Randolph County, North Carolina",14.7
89,0500000US37155,"Robeson County, North Carolina",31.9
1,0500000US37157,"Rockingham County, North Carolina",20.4
96,0500000US37159,"Rowan County, North Carolina",13.7
60,0500000US37161,"Rutherford County, North Carolina",20.3
11,0500000US37171,"Surry County, North Carolina",16.6
82,0500000US37179,"Union County, North Carolina",7
43,0500000US37183,"Wake County, North Carolina",8
6,0500000US37191,"Wayne County, North Carolina",19.4
23,0500000US37193,"Wilkes County, North Carolina",14.8
50,0500000US37195,"Wilson County, North Carolina",23.7
