GEO_ID,NAME,S1701_C01_001E
45001,"Abbeville County, South Carolina",23951
45003,"Aiken County, South Carolina",164182
45005,"Allendale County, South Carolina",8094
45007,"Anderson County, South Carolina",192926
45009,"Bamberg County, South Carolina",13637
45011,"Barnwell County, South Carolina",21140
45013,"Beaufort County, South Carolina",177366
45015,"Berkeley County, South Carolina",205130
45017,"Calhoun County, South Carolina",14459
45019,"Charleston County, South Carolina",382909
45021,"Cherokee County, South Carolina",55880
45023,"Chester County, South Carolina",32108
45025,"Chesterfield County, South Carolina",45400
45027,"Clarendon County, South Carolina",32498
45029,"Colleton County, South Carolina",36774
45031,"Darlington County, South Carolina",65651
45033,"Dillon County, South Carolina",30441
45035,"Dorchester County, South Carolina",153098
45037,"Edgefield County, South Carolina",24217
45039,"Fairfield County, South Carolina",22435
45041,"Florence County, South Carolina",135039
45043,"Georgetown County, South Carolina",60936
45045,"Greenville County, South Carolina",486230
45047,"Greenwood County, South Carolina",67824
45049,"Hampton County, South Carolina",18391
45051,"Horry County, South Carolina",315886
45053,"Jasper County, South Carolina",27382
45055,"Kershaw County, South Carolina",63958
45057,"Lancaster County, South Carolina",87444
45059,"Laurens County, South Carolina",64347
45061,"Lee County, South Carolina",16036
45063,"Lexington County, South Carolina",282695
45065,"McCormick County, South Carolina",8378
45067,"Marion County, South Carolina",31072
45069,"Marlboro County, South Carolina",24122
45071,"Newberry County, South Carolina",36920
45073,"Oconee County, South Carolina",75905
45075,"Orangeburg County, South Carolina",85572
45077,"Pickens County, South Carolina",115815
45079,"Richland County, South Carolina",378039
45081,"Saluda County, South Carolina",19967
45083,"Spartanburg County, South Carolina",293810
45085,"Sumter County, South Carolina",104409
45087,"Union County, South Carolina",27130
45089,"Williamsburg County, South Carolina",30091
45091,"York County, South Carolina",254338
