GEO_ID,NAME,P001001
45009,"Bamberg County, South Carolina",15987
45001,"Abbeville County, South Carolina",25417
45005,"Allendale County, South Carolina",10419
45007,"Anderson County, South Carolina",187126
45021,"Cherokee County, South Carolina",55342
45011,"Barnwell County, South Carolina",22621
45013,"Beaufort County, South Carolina",162233
45015,"Berkeley County, South Carolina",177843
45017,"Calhoun County, South Carolina",15175
45019,"Charleston County, South Carolina",350209
45003,"Aiken County, South Carolina",160099
45037,"Edgefield County, South Carolina",26985
45023,"Chester County, South Carolina",33140
45025,"Chesterfield County, South Carolina",46734
45027,"Clarendon County, South Carolina",34971
45033,"Dillon County, South Carolina",32062
45035,"Dorchester County, South Carolina",136555
45029,"Colleton County, South Carolina",38892
45031,"Darlington County, South Carolina",68681
45049,"Hampton County, South Carolina",21090
45039,"Fairfield County, South Carolina",23956
45041,"Florence County, South Carolina",136885
45043,"Georgetown County, South Carolina",60158
45045,"Greenville County, South Carolina",451225
45047,"Greenwood County, South Carolina",69661
45065,"McCormick County, South Carolina",10233
45051,"Horry County, South Carolina",269291
45053,"Jasper County, South Carolina",24777
45055,"Kershaw County, South Carolina",61697
45057,"Lancaster County, South Carolina",76652
45059,"Laurens County, South Carolina",66537
45061,"Lee County, South Carolina",19220
45063,"Lexington County, South Carolina",262391
45073,"Oconee County, South Carolina",74273
45075,"Orangeburg County, South Carolina",92501
45077,"Pickens County, South Carolina",119224
45089,"Williamsburg County, South Carolina",34423
45067,"Marion County, South Carolina",33062
45069,"Marlboro County, South Carolina",28933
45071,"Newberry County, South Carolina",37508
45079,"Richland County, South Carolina",384504
45081,"Saluda County, South Carolina",19875
45083,"Spartanburg County, South Carolina",284307
45085,"Sumter County, South Carolina",107456
45087,"Union County, South Carolina",28961
45091,"York County, South Carolina",226073
