OBJECTID,Country Name,Country Code,Indicator Name,Indicator Code,2014
3,Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,8467.103
6,Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,5489.499
4,Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,145411.218
8,Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,462.042
9,Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,44851.077
2,Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,528.048
11,Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,195777.463
1,Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,872.746
12,Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,361316.844
13,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,58903.021
5,Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,37385.065
21,"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,2350.547
16,Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,31367.518
22,Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,73758.038
17,Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1254.114
28,Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,62801.042
20,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,93563.505
23,Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,495.045
27,Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,5375.822
19,Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,649.059
31,Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,1037.761
25,Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,20329.848
24,Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,19424.099
18,Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,6857.29
30,Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,533530.165
239,British Virgin Islands,VGB,CO2 emissions (kt),EN.ATM.CO2E.KT,212.686
